Date : 2025-11-29 16:50:55
Directory : c:\Users\Jlowe\Desktop\PlatPursuit
Total : 146 files,  7743 codes, 302 comments, 1011 blanks, all 9056 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        107 |      5,098 |        291 |        846 |      6,235 |
| HTML             |         27 |      2,123 |          9 |        106 |      2,238 |
| JavaScript       |          6 |        180 |          1 |         23 |        204 |
| PostCSS          |          2 |        141 |          1 |          5 |        147 |
| Markdown         |          1 |        117 |          0 |         29 |        146 |
| pip requirements |          1 |         47 |          0 |          1 |         48 |
| JSON             |          1 |         27 |          0 |          1 |         28 |
| toml             |          1 |         10 |          0 |          0 |         10 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        146 |      7,743 |        302 |      1,011 |      9,056 |
| . (Files)                                                                                                               |          7 |        258 |          4 |         42 |        304 |
| api                                                                                                                     |          9 |        270 |          3 |         58 |        331 |
| api (Files)                                                                                                             |          8 |        270 |          3 |         57 |        330 |
| api\migrations                                                                                                          |          1 |          0 |          0 |          1 |          1 |
| core                                                                                                                    |         21 |        431 |         16 |         68 |        515 |
| core (Files)                                                                                                            |          6 |        105 |         11 |         22 |        138 |
| core\management                                                                                                         |          4 |         36 |          0 |          8 |         44 |
| core\management\commands                                                                                                |          4 |         36 |          0 |          8 |         44 |
| core\migrations                                                                                                         |          1 |          0 |          0 |          1 |          1 |
| core\services                                                                                                           |          7 |        197 |          3 |         25 |        225 |
| core\templatetags                                                                                                       |          3 |         93 |          2 |         12 |        107 |
| plat_pursuit                                                                                                            |          5 |        169 |         60 |         53 |        282 |
| static                                                                                                                  |          7 |        316 |          2 |         27 |        345 |
| static\css                                                                                                              |          2 |        141 |          1 |          5 |        147 |
| static\js                                                                                                               |          5 |        175 |          1 |         22 |        198 |
| templates                                                                                                               |         27 |      2,123 |          9 |        106 |      2,238 |
| templates (Files)                                                                                                       |          3 |        146 |          4 |         10 |        160 |
| templates\partials                                                                                                      |         11 |        532 |          5 |         38 |        575 |
| templates\partials (Files)                                                                                              |          4 |        168 |          0 |          7 |        175 |
| templates\partials\index                                                                                                |          7 |        364 |          5 |         31 |        400 |
| templates\trophies                                                                                                      |         13 |      1,445 |          0 |         58 |      1,503 |
| templates\trophies (Files)                                                                                              |          5 |        411 |          0 |         29 |        440 |
